date_year,record_count,average_year_temp,maximum_year_temp,minimum_year_temp
1940,366,3.39,28.90,-28.90
1941,365,3.36,27.80,-31.10
1942,365,2.95,24.80,-32.20
1943,365,2.19,26.10,-35.30
1944,366,3.28,24.20,-27.50
1945,365,1.97,26.40,-28.60
1946,365,2.65,27.80,-28.10
1947,365,2.26,30.00,-28.40
1948,366,2.64,26.70,-32.80
1949,365,2.46,30.60,-35.00
1950,365,-0.03,25.60,-33.40
1951,365,1.33,26.40,-32.50
1952,366,3.94,27.00,-29.70
1953,365,3.69,26.40,-28.90
1954,365,2.71,25.30,-33.70
1955,365,2.30,27.80,-29.80
1956,366,2.04,28.30,-31.10
1957,365,3.05,26.40,-29.20
1958,365,3.39,27.20,-28.10
1959,365,2.25,28.10,-29.50
1960,366,2.73,28.10,-26.10
1961,365,3.40,25.90,-30.90
1962,365,2.27,26.70,-32.30
1963,365,3.65,27.30,-32.50
1964,366,2.09,28.10,-31.10
1965,365,0.97,28.70,-32.00
1966,365,0.79,27.50,-37.50
1967,365,1.62,27.20,-33.90
1968,366,2.08,24.20,-35.30
1969,365,1.99,28.70,-30.90
1970,365,1.46,26.70,-33.40
1971,365,1.88,25.30,-29.70
1972,366,0.73,26.70,-35.80
1973,365,3.13,25.30,-33.90
1974,365,1.65,26.40,-35.60
1975,365,2.45,29.50,-29.50
1976,366,2.29,27.80,-31.40
1977,365,3.23,26.00,-31.70
1978,365,1.60,26.00,-29.90
1979,365,0.83,26.10,-32.40
1980,366,2.62,27.90,-28.90
1981,365,4.44,27.50,-30.40
1982,365,1.96,25.70,-31.60
1983,365,3.56,29.50,-29.70
1984,366,3.26,27.00,-29.10
1985,365,1.48,24.30,-32.10
1986,365,3.23,25.80,-30.40
1987,365,5.50,25.90,-31.30
1988,366,3.68,28.90,-28.30
1989,365,1.94,29.70,-34.40
1990,365,3.28,25.50,-30.70
1991,365,3.54,30.60,-32.60
1992,356,3.15,26.30,-28.70
1993,303,3.04,23.90,-28.70
1994,365,3.06,24.30,-32.80
1995,365,2.07,30.90,-30.70
1996,366,0.19,28.20,-38.60
1997,365,2.37,25.10,-29.40
1998,365,4.68,26.30,-28.20
1999,365,4.46,25.30,-32.80
2000,366,3.48,26.15,-28.30
2001,365,4.63,26.95,-27.15
2002,365,3.27,29.10,-27.65
2003,365,3.80,28.10,-27.85
2004,366,2.68,24.90,-34.80
2005,365,4.20,27.10,-31.70
2006,365,5.39,27.10,-28.30
2007,365,3.63,29.40,-31.10
2008,366,2.58,26.80,-29.00
2009,365,3.71,25.90,-28.50
2010,364,5.75,27.80,-26.30
2011,358,5.27,28.40,-27.00
2012,357,6.34,27.80,-25.00
2013,359,3.07,27.40,-29.60
2014,364,2.78,26.20,-29.40
2015,363,5.65,27.60,-27.60
2016,358,6.03,25.90,-25.60
2017,360,5.01,26.20,-29.30
2018,360,4.10,29.00,-24.80
2019,364,3.37,26.80,-31.90
