local_date,winnipeg_temp,temp_category,activity,source,total_energy,sum_total_value,total_price
1990-01-01,-11.59,Very Cold,Exports,Manitoba,10370.84,265947.76,97.09
1990-02-01,-14.69,Extremely Cold,Exports,Manitoba,21304.60,414279.80,64.02
1990-03-01,-4.12,Very Cold,Exports,Manitoba,128348.60,3021472.00,70.43
1990-04-01,2.80,Cold,Exports,Manitoba,127498.80,3029462.00,71.08
1990-05-01,10.33,Cold,Exports,Manitoba,319132.00,5814025.00,51.37
1990-06-01,17.59,Fair,Exports,Manitoba,558642.00,8461481.00,45.73
1990-07-01,19.19,Fair,Exports,Manitoba,769344.00,11007578.00,44.87
1990-08-01,20.02,Fair,Exports,Manitoba,493656.00,7795260.00,46.16
1990-09-01,13.89,Cold,Exports,Manitoba,535102.00,9684967.00,51.72
1990-10-01,5.30,Cold,Exports,Manitoba,515566.00,10433465.00,57.24
1990-11-01,-4.29,Very Cold,Exports,Manitoba,258434.00,5292979.00,62.00
1990-12-01,-16.32,Extremely Cold,Exports,Manitoba,127565.80,2563181.00,61.60
1991-01-01,-18.83,Extremely Cold,Exports,Manitoba,75538.40,1679774.50,72.04
1991-02-01,-9.99,Very Cold,Exports,Manitoba,128788.40,2759350.80,66.04
1991-03-01,-5.36,Very Cold,Exports,Manitoba,346086.00,6226125.00,56.57
1991-04-01,7.21,Cold,Exports,Manitoba,416924.00,7622542.00,57.13
1991-05-01,14.55,Fair,Exports,Manitoba,925638.00,17462602.00,56.09
1991-06-01,18.96,Fair,Exports,Manitoba,734326.00,16307341.00,63.20
1991-07-01,19.72,Fair,Exports,Manitoba,827878.00,13909843.00,49.65
1991-08-01,20.93,Fair,Exports,Manitoba,818596.00,13330958.00,51.98
1991-09-01,12.01,Cold,Exports,Manitoba,657314.00,11589155.00,54.45
1991-10-01,1.84,Cold,Exports,Manitoba,818574.00,14168238.00,50.07
1991-11-01,-8.49,Very Cold,Exports,Manitoba,476074.00,7982698.00,52.82
1991-12-01,-10.91,Very Cold,Exports,Manitoba,406008.00,5925625.00,48.25
1992-01-01,-11.45,Very Cold,Exports,Manitoba,475848.00,7215956.50,35.04
1992-02-01,-10.11,Very Cold,Exports,Manitoba,519372.00,7851037.00,48.24
1992-03-01,-4.31,Very Cold,Exports,Manitoba,582238.00,8876681.00,47.93
1992-04-01,2.51,Cold,Exports,Manitoba,615984.00,10089954.00,49.44
1992-05-01,12.49,Cold,Exports,Manitoba,1306560.00,20028610.00,48.29
1992-06-01,14.94,Cold,Exports,Manitoba,1305540.00,20060591.00,46.86
1992-07-01,15.90,Fair,Exports,Manitoba,1020068.00,16890080.00,40.05
1992-08-01,16.35,Fair,Exports,Manitoba,1093992.00,17953222.00,48.72
1992-09-01,11.02,Cold,Exports,Manitoba,1018884.00,17301625.00,47.83
1992-10-01,4.98,Cold,Exports,Manitoba,1408568.00,23111760.00,45.02
1992-11-01,-4.72,Very Cold,Exports,Manitoba,1595798.00,23910990.00,44.68
1992-12-01,-16.70,Extremely Cold,Exports,Manitoba,1172654.00,18107870.00,46.17
1993-01-01,-14.67,Extremely Cold,Exports,Manitoba,781278.00,12777920.00,49.34
1993-02-01,-14.39,Extremely Cold,Exports,Manitoba,1020630.00,14879420.00,44.43
1993-03-01,-6.39,Very Cold,Exports,Manitoba,1069192.00,16637090.00,46.55
1993-04-01,3.86,Cold,Exports,Manitoba,752522.00,12320320.00,39.37
1993-05-01,11.65,Cold,Exports,Manitoba,1147832.00,40316852.00,61.96
1993-06-01,15.05,Cold,Exports,Manitoba,1117166.00,38948600.00,66.94
1993-07-01,17.71,Fair,Exports,Manitoba,1390540.00,45948930.00,62.26
1993-08-01,17.84,Fair,Exports,Manitoba,1724806.00,43671800.00,46.94
1993-09-01,10.23,Cold,Exports,Manitoba,1724168.00,50470790.00,54.54
1993-10-01,2.77,Cold,Exports,Manitoba,2091517.00,51866090.00,48.57
1993-11-01,-5.46,Very Cold,Exports,Manitoba,1256302.00,38424390.00,56.62
1993-12-01,-11.97,Very Cold,Exports,Manitoba,1572238.00,42423920.00,52.67
1994-01-01,-23.12,Extremely Cold,Exports,Manitoba,1289340.00,38822980.00,55.77
1994-02-01,-17.80,Extremely Cold,Exports,Manitoba,1108036.00,36330420.00,58.17
1994-03-01,-2.36,Very Cold,Exports,Manitoba,1630440.00,46167250.00,56.70
1994-04-01,3.92,Cold,Exports,Manitoba,1205882.00,39818080.00,60.36
1994-05-01,12.42,Cold,Exports,Manitoba,1809574.00,50704390.00,53.34
1994-06-01,17.91,Fair,Exports,Manitoba,1510618.00,52228950.00,66.61
1994-07-01,18.18,Fair,Exports,Manitoba,1578568.00,50037790.00,59.23
1994-08-01,16.55,Fair,Exports,Manitoba,1675346.00,57032350.00,66.33
1994-09-01,14.20,Cold,Exports,Manitoba,1418210.00,51350963.00,68.58
1994-10-01,8.06,Cold,Exports,Manitoba,1538494.00,52734840.00,67.01
1994-11-01,-1.82,Very Cold,Exports,Manitoba,1575384.00,44811460.00,56.15
1994-12-01,-10.69,Very Cold,Exports,Manitoba,1368134.00,41264230.00,57.83
1995-01-01,-16.12,Extremely Cold,Exports,Manitoba,1213638.00,38516970.00,58.93
1995-02-01,-16.16,Very Cold,Exports,Manitoba,1096346.00,37216760.00,61.45
1995-03-01,-5.15,Cold,Exports,Manitoba,1561216.00,45528160.00,61.04
1995-04-01,0.43,Cold,Exports,Manitoba,1465530.00,43803990.00,59.27
1995-05-01,10.56,Cold,Exports,Manitoba,1769334.00,52872530.00,55.31
1995-06-01,20.22,Fair,Exports,Manitoba,1598144.00,50697039.00,56.15
1995-07-01,19.65,Fair,Exports,Manitoba,1588802.00,52636330.00,62.66
1995-08-01,20.00,Fair,Exports,Manitoba,1930408.00,55947550.00,60.53
1995-09-01,12.42,Cold,Exports,Manitoba,1819052.00,50438860.00,49.22
1995-10-01,4.75,Cold,Exports,Manitoba,1891434.00,52198260.00,50.94
1995-11-01,-10.58,Very Cold,Exports,Manitoba,1253660.00,41601787.00,62.86
1995-12-01,-16.45,Extremely Cold,Exports,Manitoba,1090654.00,38270743.00,62.74
1996-01-01,-22.71,Extremely Cold,Exports,Manitoba,1114930.00,38304802.00,65.78
1996-02-01,-15.10,Extremely Cold,Exports,Manitoba,1207180.00,41173414.00,65.77
1996-03-01,-13.01,Very Cold,Exports,Manitoba,1172060.00,47907960.00,74.60
1996-04-01,-1.62,Very Cold,Exports,Manitoba,1477802.00,42976440.00,60.12
1996-05-01,9.35,Cold,Exports,Manitoba,1928350.00,51787850.00,51.19
1996-06-01,18.54,Fair,Exports,Manitoba,2079176.00,54732060.00,52.90
1996-07-01,18.95,Fair,Exports,Manitoba,2198856.00,54145410.00,51.43
1996-08-01,19.27,Fair,Exports,Manitoba,2325080.00,56301820.00,50.60
1996-09-01,13.05,Cold,Exports,Manitoba,1471466.00,43771448.00,60.96
1996-10-01,5.33,Cold,Exports,Manitoba,1751606.00,51012837.00,68.04
1996-11-01,-11.86,Very Cold,Exports,Manitoba,1429466.00,43060395.00,80.36
1996-12-01,-18.36,Extremely Cold,Exports,Manitoba,1482810.00,44946969.00,86.88
1997-01-01,-19.96,Extremely Cold,Exports,Manitoba,1260398.00,42109652.00,97.52
1997-02-01,-13.85,Very Cold,Exports,Manitoba,1455088.00,43131420.10,116.53
1997-03-01,-10.46,Very Cold,Exports,Manitoba,1813830.00,48193432.77,136.94
1997-04-01,-0.78,Cold,Exports,Manitoba,2088539.00,53640978.30,139.75
1997-05-01,8.08,Cold,Exports,Manitoba,2220299.00,52191471.00,113.21
1997-06-01,18.76,Fair,Exports,Manitoba,2221297.00,53157418.77,181.52
1997-07-01,19.54,Fair,Exports,Manitoba,2170878.00,52987388.89,188.21
1997-08-01,17.85,Fair,Exports,Manitoba,2129457.00,54695035.18,145.63
1997-09-01,14.18,Cold,Exports,Manitoba,2092060.00,51521217.99,209.06
1997-10-01,5.09,Cold,Exports,Manitoba,1953490.00,53927186.95,133.40
1997-11-01,-5.69,Very Cold,Exports,Manitoba,1937166.00,55499564.70,166.67
1997-12-01,-5.31,Very Cold,Exports,Manitoba,1971892.00,54315557.46,207.37
1998-01-01,-14.64,Very Cold,Exports,Manitoba,1586776.00,46581979.57,196.21
1998-02-01,-4.61,Very Cold,Exports,Manitoba,1699926.00,47966023.44,170.38
1998-03-01,-5.51,Very Cold,Exports,Manitoba,1832016.00,56186443.12,233.74
1998-04-01,7.89,Cold,Exports,Manitoba,1872878.00,57912746.88,239.03
1998-05-01,12.30,Cold,Exports,Manitoba,2235158.00,69736354.13,277.77
1998-06-01,15.64,Fair,Exports,Manitoba,2135577.00,69722430.35,319.82
1998-07-01,19.23,Fair,Exports,Manitoba,2425604.00,76580588.26,283.80
1998-08-01,20.65,Fair,Exports,Manitoba,2259905.00,76445626.89,254.02
1998-09-01,14.11,Cold,Exports,Manitoba,1705656.00,63776589.03,412.27
1998-10-01,6.65,Cold,Exports,Manitoba,1843636.00,67601763.49,277.78
1998-11-01,-3.15,Very Cold,Exports,Manitoba,986266.00,41669421.00,333.28
1998-12-01,-12.76,Very Cold,Exports,Manitoba,959734.00,38212046.35,307.81
1999-01-01,-17.67,Extremely Cold,Exports,Manitoba,924624.00,40434128.29,267.86
1999-02-01,-7.98,Very Cold,Exports,Manitoba,993432.00,42568824.18,319.77
1999-03-01,-2.40,Very Cold,Exports,Manitoba,1057994.00,45345452.91,272.88
1999-04-01,6.79,Cold,Exports,Manitoba,1545992.00,72139656.03,380.61
1999-05-01,11.99,Cold,Exports,Manitoba,1389220.00,63670467.01,238.07
1999-06-01,16.07,Fair,Exports,Manitoba,1378356.00,65937410.66,399.01
1999-07-01,19.11,Fair,Exports,Manitoba,1752398.00,82266229.36,301.56
1999-08-01,18.15,Fair,Exports,Manitoba,1507978.00,76643565.59,362.35
1999-09-01,11.18,Cold,Exports,Manitoba,1290934.00,50708722.85,251.84
1999-10-01,4.32,Cold,Exports,Manitoba,1457218.00,53557270.95,229.57
1999-11-01,1.34,Cold,Exports,Manitoba,1127532.00,46173965.19,189.52
1999-12-01,-7.99,Very Cold,Exports,Manitoba,1086418.00,46439382.18,329.78
2000-01-01,-16.29,Extremely Cold,Exports,Manitoba,1134818.00,53145800.00,82.18
2000-02-01,-8.06,Very Cold,Exports,Manitoba,1256676.00,51848400.00,57.06
2000-03-01,0.36,Cold,Exports,Manitoba,1606608.00,61416800.00,55.24
2000-04-01,4.62,Cold,Exports,Manitoba,1464150.00,61288400.00,59.32
2000-05-01,11.84,Cold,Exports,Manitoba,1565912.00,71244400.00,67.12
2000-06-01,15.08,Fair,Exports,Manitoba,1417950.00,88006400.00,90.90
2000-07-01,20.17,Fair,Exports,Manitoba,1937484.00,111303400.00,92.66
2000-08-01,19.59,Fair,Exports,Manitoba,2050300.00,115192800.00,91.14
2000-09-01,12.37,Cold,Exports,Manitoba,1889302.00,77664200.00,61.06
2000-10-01,7.13,Cold,Exports,Manitoba,1962312.00,78806600.00,59.78
2000-11-01,-4.50,Very Cold,Exports,Manitoba,1254918.00,61157000.00,64.62
2000-12-01,-20.82,Extremely Cold,Exports,Manitoba,1065772.00,57617400.00,66.72
2001-01-01,-11.76,Very Cold,Exports,Manitoba,1104580.00,65037600.00,114.96
