local_date,winnipeg_temp,temp_category,activity,destination,total_energy,sum_total_value,total_price
1990-01-01,-11.59,Very Cold,Imports,Manitoba,337848.00,5700181.00,51.65
1990-02-01,-14.69,Extremely Cold,Imports,Manitoba,426598.00,6956523.00,48.98
1990-03-01,-4.12,Very Cold,Imports,Manitoba,409234.00,6124519.00,44.11
1990-04-01,2.80,Cold,Imports,Manitoba,272718.00,3584217.00,39.90
1990-05-01,10.33,Cold,Imports,Manitoba,128332.00,1548818.00,36.19
1990-10-01,5.30,Cold,Imports,Manitoba,47242.00,485730.38,32.17
1990-11-01,-4.29,Very Cold,Imports,Manitoba,139100.00,1574014.00,34.21
1990-12-01,-16.32,Extremely Cold,Imports,Manitoba,318962.00,3836083.00,34.97
1991-01-01,-18.83,Extremely Cold,Imports,Manitoba,316942.00,4156101.00,39.73
1991-02-01,-9.99,Very Cold,Imports,Manitoba,100180.00,1292446.00,38.58
1991-03-01,-5.36,Very Cold,Imports,Manitoba,88644.00,1157538.30,39.70
1991-04-01,7.21,Cold,Imports,Manitoba,76.00,0.00,0.00
1991-05-01,14.55,Fair,Imports,Manitoba,200.00,3588.00,35.88
1991-06-01,18.96,Fair,Imports,Manitoba,4100.00,34653.85,25.09
1991-08-01,20.93,Fair,Imports,Manitoba,490.00,4411.56,18.00
1991-09-01,12.01,Cold,Imports,Manitoba,2760.00,22727.36,24.51
1991-11-01,-8.49,Very Cold,Imports,Manitoba,7050.00,80250.00,22.76
1991-12-01,-10.91,Very Cold,Imports,Manitoba,3600.00,41184.00,22.88
1993-04-01,3.86,Cold,Imports,Manitoba,10990.00,140118.30,37.77
1993-05-01,11.65,Cold,Imports,Manitoba,372866.00,5405780.00,43.09
1993-06-01,15.05,Cold,Imports,Manitoba,713960.00,11585280.00,49.31
1993-07-01,17.71,Fair,Imports,Manitoba,102176.00,1511493.00,44.71
1993-11-01,-5.46,Very Cold,Imports,Manitoba,20710.00,294393.40,42.91
1994-01-01,-23.12,Extremely Cold,Imports,Manitoba,4330.00,102978.20,68.97
1994-02-01,-17.80,Extremely Cold,Imports,Manitoba,5750.00,126788.00,44.10
1994-04-01,3.92,Cold,Imports,Manitoba,7720.00,128789.98,47.63
1994-06-01,17.91,Fair,Imports,Manitoba,84032.00,1256100.00,44.75
1994-07-01,18.18,Fair,Imports,Manitoba,3250.00,39150.00,24.10
1994-08-01,16.55,Fair,Imports,Manitoba,2980.00,41323.60,27.74
1994-09-01,14.20,Cold,Imports,Manitoba,21770.00,305238.00,42.74
1994-10-01,8.06,Cold,Imports,Manitoba,22440.00,332456.63,43.48
1994-11-01,-1.82,Very Cold,Imports,Manitoba,28062.00,445366.10,46.77
1994-12-01,-10.69,Very Cold,Imports,Manitoba,135860.00,2172495.00,46.98
1995-05-01,10.56,Cold,Imports,Manitoba,2480.00,30569.40,24.66
1995-06-01,20.22,Fair,Imports,Manitoba,30522.00,249168.10,25.88
1995-07-01,19.65,Fair,Imports,Manitoba,24898.00,134796.20,19.92
1995-08-01,20.00,Fair,Imports,Manitoba,18364.00,73357.02,20.40
