date_year,total_precipitation
1940,435.50
1941,625.40
1942,562.90
1943,504.80
1944,618.30
1945,578.30
1946,416.80
1947,558.60
1948,405.50
1949,584.20
1950,570.30
1951,404.60
1952,363.10
1953,719.10
1954,661.10
1955,580.60
1956,604.90
1957,525.50
1958,483.40
1959,654.10
1960,402.10
1961,321.70
1962,724.60
1963,482.70
1964,461.50
1965,527.00
1966,460.00
1967,471.10
1968,653.00
1969,548.80
1970,601.80
1971,525.40
1972,424.80
1973,603.30
1974,510.80
1975,595.40
1976,427.70
1977,715.00
1978,461.50
1979,471.50
1980,405.30
1981,479.70
1982,483.60
1983,479.50
1984,606.40
1985,546.70
1986,471.00
1987,458.60
1988,380.70
1989,440.90
1990,393.20
1991,618.10
1992,473.10
1993,491.10
1994,680.30
1995,444.70
1996,673.80
1997,486.30
1998,518.30
1999,531.10
2000,718.40
2001,552.10
2002,479.55
2003,432.35
2004,688.40
2005,669.05
2006,319.28
2007,512.20
2008,606.53
2009,522.81
2010,737.16
2011,326.21
2012,527.78
2013,481.73
2014,606.01
2015,661.74
2016,619.12
2017,412.65
2018,406.20
2019,541.90
